DepartureStation,ArrivalStation,Capacity,Weekend,Month,Hour,Duration,Passengers
AW,AE,220,1,3,16,0.92,204.0
AT,AB,220,1,2,17,1.0,198.0
AT,BO,240,1,7,6,1.75,188.0
AT,BO,240,1,10,6,1.75,223.0
AW,AB,240,1,4,18,1.83,240.0
AT,AZ,240,0,4,6,2.92,204.0
AW,AE,240,0,11,18,0.92,208.0
AT,AB,240,1,4,17,1.0,135.0
AT,BO,220,0,4,6,1.67,209.0
AT,BO,220,0,4,6,1.67,219.0
BA,AB,240,1,6,8,0.92,211.0
BM,AV,240,0,8,0,4.0,110.0
AT,AZ,220,1,8,11,2.83,201.0
BM,AV,240,0,9,0,4.17,143.0
AW,AB,220,1,1,16,1.83,144.0
AT,AZ,220,1,11,11,1.75,195.0
AW,AX,240,0,12,6,0.75,240.0
AJ,AR,240,1,12,17,0.92,168.0
AT,BO,220,0,12,6,1.75,189.0
AW,AS,220,0,10,16,0.75,142.0
BH,BO,240,1,12,12,2.42,217.0
AT,BO,240,0,10,6,1.75,217.0
AT,AZ,240,0,12,11,1.75,209.0
AT,AZ,240,0,5,11,2.92,160.0
AW,AE,240,0,9,15,0.75,201.0
BM,AV,240,1,12,0,5.0,240.0
AT,BO,220,1,2,6,1.67,183.0
BA,AB,240,0,3,8,1.17,141.0
AT,BO,220,0,10,6,1.75,217.0
AT,BO,220,1,12,6,1.75,182.0
AT,AZ,220,1,7,11,2.83,217.0
AW,AB,220,1,10,6,1.83,124.0
AJ,AR,220,0,7,17,0.92,198.0
AJ,AR,240,0,11,17,0.92,239.0
AJ,AR,220,1,10,17,0.92,142.0
AT,BO,220,0,4,6,1.67,203.0
AT,BO,220,0,6,5,1.75,220.0
AW,AE,220,0,6,16,0.83,216.0
AJ,AR,240,0,12,17,0.92,186.0
AT,BO,220,1,7,6,1.75,220.0
AW,AE,240,1,7,6,0.83,179.0
BM,AV,240,0,10,0,4.0,193.0
AT,AZ,240,0,9,11,2.75,240.0
AT,BO,220,0,1,6,1.67,152.0
AT,BS,240,1,8,6,1.17,188.0
AT,BO,240,0,6,5,1.75,203.0
AW,AE,240,0,7,19,0.83,240.0
AW,AS,240,1,11,17,0.75,231.0
AJ,AR,240,0,6,17,0.92,182.0
AT,AZ,240,0,5,11,2.92,240.0
BM,AV,240,0,10,0,4.0,220.0
BM,AV,236,0,12,0,5.0,221.0
AT,AZ,240,0,8,11,2.83,240.0
AT,AZ,240,0,5,11,2.92,240.0
AJ,AR,220,0,4,17,0.92,220.0
AW,AB,240,0,7,6,1.75,187.0
BM,AV,240,1,11,0,5.0,238.0
AT,AB,240,0,3,17,1.0,197.0
AT,BO,220,0,12,6,1.75,215.0
BH,BO,240,1,9,14,2.42,136.0
AT,BO,220,0,1,6,1.67,190.0
AW,AS,240,0,12,20,0.75,197.0
AT,BO,220,0,3,6,1.67,219.0
AW,AV,236,0,9,20,1.42,112.0
AT,BO,220,0,10,6,1.75,220.0
AT,AZ,220,0,9,11,2.75,220.0
AT,AZ,240,1,11,11,1.75,203.0
BM,AV,240,0,11,0,5.0,213.0
AT,BO,220,1,9,5,1.75,220.0
AT,AB,220,1,4,17,1.0,167.0
AT,AZ,220,0,6,11,2.83,185.0
AT,AB,220,1,4,17,1.0,220.0
AT,BS,240,1,12,6,1.17,185.0
AT,AZ,240,1,6,11,2.83,201.0
AT,BS,220,1,1,9,1.17,181.0
AO,AR,220,0,10,12,0.67,185.0
AT,BO,220,0,11,6,1.75,205.0
AT,AZ,240,0,3,6,2.92,224.0
AW,AX,240,1,12,11,0.75,221.0
AT,BO,240,0,7,6,1.75,233.0
AT,BO,240,0,7,6,1.75,224.0
AT,BO,240,1,9,6,1.75,239.0
AT,AZ,220,1,1,6,1.92,208.0
AW,AE,240,1,7,6,0.83,216.0
BM,AV,240,0,8,0,4.0,125.0
AW,AM,236,1,8,11,3.5,221.0
AT,AZ,220,0,8,11,2.83,220.0
AW,AS,240,1,6,15,0.67,184.0
AW,AX,220,0,11,11,0.75,216.0
AT,AZ,240,0,6,11,2.83,171.0
AW,AE,240,0,8,15,0.83,183.0
BM,AV,240,0,10,0,4.0,185.0
AT,BO,220,1,12,6,1.75,219.0
AW,AB,220,1,4,18,1.83,161.0
AT,BO,220,1,4,6,1.67,214.0
AT,BO,220,0,3,6,1.67,220.0
AT,AZ,240,0,5,11,2.92,210.0
AT,BO,220,1,3,6,1.67,220.0
AT,BO,220,1,11,6,1.75,188.0
AT,BO,220,0,12,6,1.75,163.0
AW,AX,240,0,8,12,1.75,159.0
BH,BO,240,1,11,12,2.42,133.0
AT,BS,240,1,7,6,1.17,193.0
AJ,AR,240,0,12,17,0.92,191.0
AW,AE,240,0,11,18,0.92,231.0
AW,AX,220,0,10,11,1.75,220.0
AT,AZ,240,0,7,11,2.83,240.0
AT,BS,240,1,11,6,1.17,133.0
AW,AB,220,0,10,6,1.83,220.0
AW,AB,220,0,6,15,1.75,141.0
AW,AB,240,0,2,14,1.83,207.0
AT,BS,240,0,4,9,1.17,161.0
AT,AZ,240,1,4,6,2.92,201.0
AT,AZ,240,1,3,6,2.92,240.0
BM,AV,240,1,9,0,4.17,189.0
AT,BO,240,1,7,6,1.75,212.0
AJ,AR,240,1,11,17,0.92,219.0
AT,AZ,220,0,1,6,1.92,205.0
AW,BS,240,1,7,9,1.75,231.0
AW,AE,240,1,6,15,0.83,209.0
AT,AZ,240,1,8,11,2.83,240.0
BM,AV,240,1,8,0,4.0,151.0
AT,BO,220,1,2,6,1.67,149.0
AW,AE,240,0,8,16,0.83,240.0
AT,AZ,240,1,9,11,2.75,240.0
BM,AV,236,1,9,0,4.17,232.0
AW,AE,240,0,7,19,0.83,212.0
AW,AB,220,0,8,15,1.75,182.0
AW,AX,240,1,8,12,1.75,205.0
AW,AS,240,1,12,17,0.75,240.0
AT,AZ,220,0,6,11,2.83,220.0
AT,AZ,240,0,7,11,2.83,226.0
AT,BO,240,0,4,6,1.67,199.0
AT,AB,240,1,3,17,1.0,240.0
AW,AS,240,1,7,15,0.67,147.0
AT,BO,220,1,1,6,1.67,187.0
AT,BO,220,1,6,5,1.75,186.0
AT,BS,240,0,10,12,1.08,191.0
AW,AE,240,0,12,19,0.92,188.0
AT,BO,240,0,12,6,1.75,189.0
AT,BO,240,1,7,6,1.75,197.0
AT,BO,240,1,7,6,1.75,240.0
AT,AZ,240,1,8,11,2.83,219.0
AW,AE,240,1,3,16,0.92,223.0
AW,AB,240,1,9,6,1.75,158.0
BM,AV,240,1,10,0,4.0,212.0
AT,BO,220,1,2,6,1.67,166.0
AW,AX,240,0,12,11,0.75,218.0
AT,AZ,220,1,6,11,2.83,219.0
AT,AB,220,1,1,17,1.0,144.0
AW,AX,240,1,9,12,1.58,215.0
AW,AB,220,0,3,14,1.83,210.0
AT,AZ,220,0,7,11,2.83,220.0
AT,BO,220,0,6,5,1.75,219.0
AW,AV,240,1,6,6,1.42,108.0
AT,BO,220,0,2,6,1.67,210.0
AW,BS,220,0,7,15,1.75,120.0
AT,BO,220,0,11,6,1.75,210.0
AT,AZ,240,0,12,11,1.75,237.0
AT,BO,240,0,10,6,1.75,198.0
AW,AB,240,1,2,16,1.83,136.0
AT,AZ,240,0,10,11,2.75,239.0
AW,AE,220,0,6,15,0.83,220.0
AT,AB,220,1,4,17,1.0,199.0
AT,BS,220,1,7,6,1.17,209.0
BH,BO,236,1,12,12,2.42,236.0
AT,BO,240,0,9,6,1.75,188.0
BM,AV,240,0,8,0,4.0,135.0
AT,AZ,240,1,9,11,2.75,235.0
AW,AB,220,0,7,6,1.75,203.0
AT,AZ,240,0,6,11,2.83,210.0
AW,AS,240,0,6,15,0.67,180.0
AT,AZ,220,0,8,11,2.83,220.0
AT,AB,220,0,3,17,1.0,192.0
AW,AX,220,0,10,22,1.92,218.0
AT,BO,220,0,2,6,1.67,220.0
AT,BO,220,0,2,6,1.67,183.0
AT,AZ,240,0,9,11,2.75,240.0
AT,AZ,240,0,12,11,1.75,204.0
AY,AR,240,1,8,17,1.08,208.0
AT,AB,240,0,1,17,1.0,148.0
AT,AZ,240,1,9,11,2.75,223.0
AW,AE,240,0,10,15,0.92,233.0
AW,BK,240,0,12,10,2.33,234.0
AJ,AR,220,0,10,17,0.92,165.0
BM,AV,240,0,8,0,4.0,115.0
AT,AZ,240,0,8,11,2.83,240.0
AT,BO,240,0,2,6,1.67,201.0
AT,BO,240,0,7,6,1.75,238.0
AT,BO,220,1,11,6,1.75,187.0
AW,AB,240,1,2,16,1.83,155.0
AT,BO,240,1,7,6,1.75,218.0
AT,AZ,220,1,1,6,1.92,206.0
AW,AV,240,0,11,17,1.42,168.0
BM,AV,240,0,10,0,4.0,204.0
AT,AZ,240,0,10,11,2.75,220.0
AT,AZ,240,0,10,11,2.75,236.0
AT,AZ,240,0,6,11,2.83,194.0
AW,AE,240,0,6,15,0.83,195.0
AW,AV,240,0,4,20,1.42,164.0
AT,AB,220,0,4,17,1.0,174.0
AT,AZ,240,1,5,11,2.92,118.0
AJ,AR,240,0,4,17,0.92,219.0
AW,AS,220,1,10,17,0.75,217.0
AW,AE,220,0,10,15,0.92,197.0
AT,AZ,240,1,12,11,1.75,239.0
AT,BO,220,1,6,5,1.75,170.0
AW,AB,236,1,3,18,1.83,163.0
AT,AZ,240,0,9,11,2.75,240.0
AJ,AR,220,0,8,17,0.92,185.0
AT,BO,220,0,9,6,1.75,211.0
AW,AX,240,0,6,12,1.75,194.0
AJ,AR,240,1,11,17,0.92,240.0
AT,AZ,240,1,11,11,1.75,177.0
AT,AB,220,0,2,17,1.0,220.0
BH,BO,240,1,10,14,2.42,130.0
AT,AZ,240,1,6,11,2.83,174.0
AT,BO,220,0,4,6,1.67,220.0
AW,AS,240,0,11,17,0.75,197.0
AW,AX,240,1,9,12,1.58,170.0
AW,AS,240,1,12,17,0.75,213.0
AT,BO,240,0,12,6,1.75,214.0
AT,AZ,220,1,6,11,2.83,212.0
AT,AB,220,1,2,17,1.0,124.0
AT,BO,220,0,11,6,1.75,203.0
AW,AE,240,0,4,16,0.92,226.0
AW,AB,220,1,9,6,1.75,139.0
AT,AZ,240,0,5,11,2.92,237.0
AW,AE,220,0,7,19,0.83,203.0
BM,AV,240,1,10,0,4.0,209.0
AJ,AR,240,1,12,18,0.92,144.0
AT,AB,220,0,4,17,1.0,189.0
AT,AZ,220,0,10,11,2.75,220.0
AT,AB,220,0,1,17,1.0,145.0
AJ,AR,230,1,12,17,0.92,212.0
AW,AE,240,1,8,6,0.83,239.0
AW,AM,220,0,8,12,3.5,208.0
AT,AB,220,0,4,17,1.0,220.0
AT,BO,220,1,4,6,1.67,220.0
AT,BS,240,1,5,6,1.08,144.0
AT,BO,220,1,1,6,1.67,196.0
AT,AB,220,0,1,17,1.0,126.0
AJ,AR,240,1,10,17,0.92,161.0
AT,BO,220,0,3,6,1.67,220.0
AT,BS,220,1,3,9,1.17,161.0
BM,AV,240,0,11,0,5.0,194.0
AW,AB,240,0,8,6,1.75,143.0
AT,BO,220,1,7,6,1.75,220.0
AW,AE,220,1,6,15,0.83,220.0
AJ,AR,236,0,9,17,0.92,200.0
AW,AS,240,0,8,19,0.67,124.0
AT,BO,240,0,9,6,1.75,230.0
AT,AB,220,0,1,17,1.0,154.0
AT,AZ,240,0,3,6,2.92,240.0
AT,AZ,240,0,9,11,2.75,240.0
BM,AV,240,0,9,0,4.17,143.0
AT,BO,220,1,1,6,1.67,178.0
AW,AS,240,0,12,20,0.75,146.0
AT,BO,220,1,1,6,1.67,201.0
AT,AZ,240,0,3,6,2.92,201.0
AT,AZ,240,1,8,11,2.83,235.0
AT,AZ,240,0,6,11,2.83,170.0
AT,BO,220,1,1,6,1.67,166.0
AW,AB,220,0,4,14,1.83,220.0
AT,AZ,240,1,5,11,2.92,148.0
AT,AB,220,1,1,17,1.0,118.0
AT,BO,240,1,2,6,1.67,237.0
AT,AB,220,0,1,17,1.0,159.0
AT,AB,240,0,9,16,1.08,183.0
AW,AS,240,0,5,15,0.75,179.0
AT,AZ,240,0,5,11,2.92,180.0
AT,AZ,240,0,9,11,2.75,203.0
AW,AB,240,0,5,15,1.75,165.0
AT,BO,240,0,3,6,1.67,227.0
BM,AV,240,1,8,0,4.0,120.0
BM,AV,240,0,9,0,4.17,198.0
AW,AB,240,0,1,18,1.83,119.0
AT,AZ,220,1,1,6,1.92,124.0
AT,AZ,220,1,1,6,1.92,116.0
AT,BO,240,0,6,5,1.75,127.0
AW,AX,240,0,8,21,1.75,185.0
AT,BO,240,1,10,6,1.75,214.0
AT,AB,220,0,4,17,1.0,127.0
AW,AM,240,1,7,11,3.5,224.0
AT,BS,220,1,5,6,1.08,131.0
AT,BO,220,0,4,6,1.67,210.0
AT,AB,220,0,3,17,1.0,117.0
BM,AV,240,0,9,0,4.17,115.0
AT,AZ,220,1,2,14,1.92,153.0
AT,AZ,220,1,12,11,1.75,171.0
AW,AB,240,1,5,15,1.75,148.0
AT,AZ,220,1,7,11,2.83,220.0
AT,AZ,220,0,2,14,1.92,220.0
AW,AS,240,1,9,15,0.75,168.0
AT,BO,220,1,9,5,1.75,198.0
AT,AZ,240,1,5,11,2.92,224.0
AW,AX,240,1,10,11,1.75,237.0
AT,AZ,220,0,1,6,1.92,220.0
AW,AB,240,1,10,6,1.83,131.0
AT,BO,220,1,6,5,1.75,202.0
AW,AB,220,1,2,16,1.83,155.0
BM,AV,240,1,10,0,4.0,234.0
AW,AB,240,0,8,6,1.75,164.0
AT,AZ,240,1,6,11,2.83,218.0
AW,AE,220,0,12,18,0.92,195.0
AW,AB,240,0,6,15,1.75,172.0
AT,BO,220,0,6,5,1.75,190.0
AT,BO,220,0,11,6,1.75,189.0
AT,AZ,220,0,9,11,2.75,220.0
AW,AE,240,0,10,15,0.92,239.0
AW,AX,220,0,12,11,0.75,217.0
AT,AZ,240,1,6,11,2.83,177.0
AT,AZ,240,0,8,11,2.83,181.0
AT,AZ,240,0,10,11,2.75,240.0
AW,BS,240,0,8,15,1.75,114.0
AW,BK,240,0,12,10,2.33,238.0
AW,AE,220,0,5,15,0.92,174.0
AT,AB,220,0,2,17,1.0,194.0
AW,AB,240,1,1,14,1.83,139.0
AW,AE,220,0,3,16,0.92,190.0
AW,AS,220,0,9,10,0.75,119.0
AW,AM,240,1,7,11,3.5,220.0
AW,BS,240,0,8,15,1.75,129.0
AJ,AR,240,0,11,17,0.92,207.0
AT,BO,220,0,3,6,1.67,202.0
BA,AB,240,1,9,8,0.92,160.0
AT,BO,220,0,1,6,1.67,205.0
AW,AX,220,1,6,12,1.75,186.0
AW,AE,240,0,11,15,0.92,208.0
AT,AB,220,0,9,16,1.08,112.0
AW,AE,240,0,1,13,0.92,193.0
AT,AZ,240,1,2,6,1.92,160.0
AW,AB,220,0,1,15,1.83,129.0
AW,AE,240,0,8,17,0.83,196.0
BM,AV,240,1,12,0,5.0,234.0
AW,BK,240,1,12,10,2.33,240.0
AT,BO,220,0,6,5,1.75,220.0
AT,BO,240,0,12,6,1.75,229.0
BM,AV,240,1,9,0,4.17,239.0
AW,AE,220,1,1,16,0.92,154.0
AJ,AR,240,1,12,17,0.92,158.0
AW,AE,240,0,6,16,0.83,240.0
AW,AE,240,0,1,13,0.92,198.0
AT,AZ,240,0,10,11,2.75,235.0
AW,AB,220,1,5,15,1.75,146.0
AW,AE,240,0,5,15,0.92,204.0
AW,AB,220,1,4,18,1.83,192.0
AJ,AR,220,0,5,17,0.92,146.0
AT,AZ,240,0,4,6,2.92,185.0
AW,AE,220,0,4,16,0.92,200.0
AT,AZ,240,1,7,11,2.83,240.0
AJ,AR,220,0,11,17,0.92,220.0
AT,AZ,220,1,3,14,1.92,122.0
AT,AZ,240,1,3,6,2.92,136.0
AW,AE,240,0,9,17,0.75,229.0
AT,BS,240,1,5,6,1.08,154.0
AT,BO,240,0,7,6,1.75,222.0
BM,AV,240,1,12,16,5.0,240.0
AW,AX,240,1,10,21,1.92,184.0
AT,BO,220,1,1,6,1.67,217.0
AW,AM,240,0,8,16,3.5,181.0
AT,AB,220,0,1,17,1.0,157.0
AT,AZ,220,0,3,6,1.92,220.0
AW,AS,220,1,3,15,0.75,191.0
BM,AV,240,1,9,0,4.17,174.0
AT,BO,220,1,10,6,1.75,198.0
AW,AX,220,0,10,11,1.75,196.0
BA,AB,240,1,9,8,0.92,160.0
AT,AZ,240,0,2,6,1.92,240.0
AW,AS,240,1,10,17,0.75,197.0
AT,BO,220,1,11,6,1.75,178.0
AT,AZ,240,1,4,6,2.92,129.0
BM,AV,240,1,8,0,4.0,183.0
AT,BS,220,1,5,11,1.08,220.0
AT,AZ,220,0,7,11,2.83,220.0
AW,AE,220,1,2,16,0.92,220.0
AT,BO,220,1,1,6,1.67,190.0
AT,BO,240,1,4,6,1.67,211.0
AJ,AR,240,0,5,17,0.92,160.0
AT,BS,220,1,7,6,1.17,207.0
AJ,AR,240,0,5,17,0.92,240.0
AT,AZ,220,0,4,6,2.92,210.0
AW,AE,220,0,6,15,0.83,220.0
AT,BO,220,1,2,6,1.67,199.0
AT,AZ,240,0,3,6,2.92,153.0
AW,AV,240,1,11,6,1.5,135.0
AT,AZ,240,0,9,11,2.75,240.0
AJ,AR,240,0,6,17,0.92,130.0
AT,AZ,240,1,10,11,2.75,200.0
AW,AV,240,0,7,7,1.42,129.0
AW,AV,240,1,9,6,1.42,140.0
BH,BO,240,0,12,12,2.42,137.0
AT,AB,220,0,1,17,1.0,151.0
AJ,AR,220,0,5,17,0.92,220.0
AW,AV,240,0,12,20,1.42,205.0
AW,AB,240,0,2,14,1.83,238.0
AT,AZ,220,0,2,14,1.92,136.0
AT,AB,220,0,1,17,1.0,143.0
AT,AB,240,0,5,16,1.0,134.0
AW,AX,240,1,9,12,1.58,165.0
AW,AX,240,0,11,11,0.75,239.0
AW,AE,220,0,4,18,0.92,210.0
AT,AZ,240,0,6,11,2.83,240.0
AT,AZ,220,1,10,11,2.75,216.0
AW,AE,240,1,11,18,0.92,202.0
AT,AZ,240,0,6,11,2.83,163.0
AT,AB,220,1,3,17,1.0,220.0
AT,AZ,240,1,6,11,2.83,142.0
AT,BS,220,1,8,6,1.17,193.0
AW,AX,240,1,11,11,0.75,235.0
AJ,AR,240,0,11,17,0.92,234.0
BM,AV,240,1,8,0,4.0,172.0
AW,AB,240,1,8,8,1.75,161.0
AT,AZ,220,0,6,11,2.83,220.0
AT,AZ,240,1,9,11,2.75,240.0
AT,AB,240,1,2,17,1.0,115.0
AT,BO,220,0,12,6,1.75,208.0
AW,AS,240,1,6,15,0.67,198.0
AT,AZ,240,0,3,6,2.92,240.0
AW,AE,220,1,5,15,0.92,220.0
AT,AZ,240,0,5,11,2.92,240.0
BM,AV,240,0,9,0,4.17,148.0
AW,AS,240,0,11,17,0.75,240.0
AT,BO,220,0,6,5,1.75,189.0
BM,AV,240,0,10,0,4.0,167.0
AW,AB,236,0,1,14,1.83,181.0
AJ,AR,240,0,6,17,0.92,187.0
AT,BO,240,0,2,6,1.67,240.0
AW,AE,220,1,7,6,0.83,165.0
AT,BS,240,1,5,6,1.08,240.0
AT,AZ,240,1,3,6,2.92,181.0
AW,AV,240,0,8,21,1.42,126.0
AW,AM,240,0,8,12,3.5,207.0
AW,AE,240,1,9,6,0.75,180.0
AT,AZ,240,1,3,6,1.92,139.0
BM,AV,240,1,11,0,4.0,232.0
AT,AB,240,0,3,17,1.0,145.0
AT,BS,240,1,9,16,1.17,130.0
AT,BO,220,1,10,6,1.75,213.0
AW,AE,240,0,12,15,0.92,205.0
AW,AS,240,0,8,19,0.67,149.0
AT,BO,220,0,1,6,1.67,188.0
AW,BS,220,1,7,9,1.75,209.0
AW,AX,220,1,11,11,0.75,220.0
AT,BS,240,1,12,6,1.17,189.0
AT,AZ,240,0,5,11,2.92,240.0
AY,AR,240,1,8,17,1.08,149.0
AT,AZ,240,1,12,11,1.75,192.0
AT,BO,220,0,4,6,1.67,220.0
BM,AV,240,0,8,0,4.0,166.0
AT,BO,240,1,12,6,1.75,194.0
AJ,AR,240,0,11,17,0.92,238.0
AT,AZ,240,0,11,11,1.75,238.0
BA,AB,220,1,3,8,1.17,185.0
BM,AV,240,1,9,0,4.17,198.0
AY,AR,240,1,7,17,1.08,134.0
AW,AE,220,1,3,16,0.92,220.0
AT,BO,220,1,3,6,1.67,220.0
AW,AV,240,1,11,6,1.5,154.0
AT,BO,240,1,10,6,1.75,214.0
AT,AZ,220,1,10,11,2.75,219.0
BM,AV,240,0,10,0,4.0,240.0
AW,BK,240,0,12,10,2.33,219.0
AT,BO,240,0,9,6,1.75,231.0
AT,BO,240,1,9,5,1.75,216.0
AT,BO,240,0,7,6,1.75,213.0
AT,BO,220,0,11,6,1.75,220.0
AW,AX,220,0,8,12,1.75,134.0
AT,AZ,240,0,8,11,2.83,240.0
AT,BS,240,1,10,6,1.17,130.0
AJ,AR,220,0,4,17,0.92,220.0
AT,AB,220,0,4,17,1.0,157.0
BM,AV,240,0,9,0,4.17,176.0
BM,AV,240,0,12,16,5.0,232.0
BM,AV,240,0,12,0,5.0,240.0
AW,AB,220,0,6,19,1.75,181.0
AT,BO,220,1,11,6,1.75,183.0
AW,AE,240,1,12,18,0.92,240.0
AT,AZ,220,1,9,11,2.75,214.0
AT,BS,220,1,11,6,1.17,149.0
AW,AX,220,0,11,11,0.75,220.0
AT,BO,240,1,9,6,1.75,236.0
AW,AB,236,1,4,18,1.83,135.0
AW,AV,220,1,8,6,1.42,179.0
AT,BO,240,0,11,6,1.75,155.0
AJ,AR,240,0,6,17,0.92,152.0
AT,BS,220,1,8,6,1.17,196.0
AW,AE,240,0,1,13,0.92,180.0
AJ,AR,220,0,5,17,0.92,220.0
AT,AZ,240,1,4,6,2.92,186.0
AT,BO,220,1,4,6,1.67,206.0
AW,AE,240,1,4,15,0.92,211.0
AW,AM,220,1,7,11,3.5,211.0
AT,BO,240,1,9,6,1.75,205.0
AT,BO,240,1,11,6,1.75,221.0
AT,AZ,240,0,9,11,2.75,240.0
AT,AZ,240,0,6,11,2.83,240.0
AW,AV,240,0,12,17,1.42,172.0
AW,AX,220,0,10,21,1.92,216.0
AT,BO,240,0,9,6,1.75,210.0
AJ,AR,240,0,8,17,0.92,240.0
AT,AZ,240,1,5,11,2.92,193.0
AT,AZ,240,0,11,11,1.75,240.0
AW,AE,240,0,2,13,0.92,217.0
AT,AZ,220,0,2,6,1.92,182.0
BM,AV,240,0,9,0,4.17,143.0
AT,BO,240,0,7,6,1.75,226.0
AT,AZ,240,1,12,11,1.75,240.0
AT,BO,240,1,12,6,1.75,202.0
AT,AB,220,1,4,17,1.0,162.0
AT,BO,240,1,4,6,1.67,230.0
AT,AZ,220,1,8,11,2.83,220.0
AW,BS,220,1,8,9,1.75,205.0
AW,AB,236,0,7,6,1.75,215.0
AT,BO,240,0,3,6,1.67,238.0
AT,AB,220,0,3,17,1.0,163.0
AW,AE,240,1,1,16,0.92,205.0
AY,AR,236,0,8,17,1.08,161.0
BH,BO,240,1,11,12,2.42,112.0
AT,BO,220,0,9,6,1.75,213.0
AW,AB,220,1,10,6,1.83,174.0
AW,AE,220,1,4,16,0.92,219.0
AT,AZ,240,1,12,11,1.75,190.0
AT,AZ,240,0,9,11,2.75,238.0
AT,AB,220,0,2,17,1.0,216.0
AT,BO,240,0,12,6,1.75,220.0
AW,AS,240,0,8,19,0.67,115.0
AT,AZ,240,1,6,11,2.83,216.0
AT,BS,240,1,6,16,1.17,163.0
AW,AX,220,0,11,11,0.75,189.0
AT,AZ,240,0,7,11,2.83,233.0
AT,BO,240,0,3,6,1.67,239.0
AT,BO,240,0,2,6,1.67,240.0
AT,AZ,220,1,7,11,2.83,220.0
AT,BO,220,0,11,6,1.75,195.0
AT,BO,240,0,10,6,1.75,226.0
AT,BO,240,0,10,6,1.75,226.0
AW,AE,220,1,8,6,0.83,202.0
AT,BO,220,0,9,6,1.75,177.0
