DepartureStation,ArrivalStation,Capacity,Weekend,Month,Hour,Duration,Passengers
AT,AB,186,0,8,16,1.08,182.0
AJ,AR,180,1,1,9,0.92,131.0
AT,BO,186,1,8,6,1.75,186.0
BA,AB,186,0,7,8,0.92,186.0
AW,AX,186,0,8,21,1.75,166.0
AT,AB,180,1,9,16,1.08,177.0
AW,BK,186,0,11,10,2.33,137.0
BM,AV,186,1,2,0,5.0,151.0
AW,AB,180,1,8,6,1.75,135.0
AT,AI,186,0,1,11,2.83,186.0
AT,AI,186,0,11,10,2.92,186.0
AT,BS,186,0,2,9,1.17,161.0
BM,AV,186,1,1,0,5.0,150.0
AT,AI,186,0,2,11,2.83,184.0
AT,BS,180,1,1,9,1.17,180.0
AT,AI,180,1,9,10,3.08,176.0
AW,AX,186,1,11,11,1.75,177.0
AT,BS,186,1,12,14,1.08,184.0
AK,AB,186,0,6,12,1.42,133.0
AT,AB,186,1,3,17,1.0,147.0
AT,AI,186,0,4,11,2.83,183.0
AO,AR,186,1,12,12,0.67,175.0
AK,BO,186,1,3,9,2.0,167.0
AO,AR,180,1,2,14,0.67,180.0
AT,AB,180,0,9,16,1.08,180.0
AW,AV,180,1,6,6,1.42,133.0
AO,AR,180,1,6,16,0.67,150.0
AW,AV,186,0,7,7,1.42,96.0
AO,AR,186,0,8,14,0.67,186.0
AW,AX,186,1,10,11,1.75,186.0
AW,AX,186,0,8,12,1.75,162.0
AT,AI,186,1,11,10,2.92,152.0
AT,AI,186,0,8,10,3.0,186.0
AT,AI,186,1,12,10,2.92,186.0
AK,BO,186,0,8,7,1.75,177.0
AT,AI,180,0,5,10,3.0,180.0
BA,BS,186,0,12,8,1.08,186.0
BA,BS,180,0,10,8,1.08,137.0
AW,AE,186,0,5,8,0.92,186.0
AT,AI,180,0,5,10,3.0,174.0
BM,AV,186,0,4,0,4.0,136.0
AK,AB,186,1,5,6,1.42,184.0
AT,AZ,186,0,6,11,2.83,166.0
BM,AV,186,0,5,0,4.0,131.0
BM,AV,186,0,7,0,4.0,144.0
AT,BS,186,1,3,9,1.17,186.0
AT,BS,180,1,3,9,1.17,163.0
AK,AB,186,1,8,7,1.42,183.0
AJ,AR,186,1,10,17,0.92,186.0
BM,AV,186,0,5,0,4.0,147.0
AT,AI,186,1,8,10,3.0,186.0
AT,AI,186,1,8,10,3.0,186.0
AW,AV,180,0,8,21,1.42,120.0
AT,AI,180,1,9,10,3.08,176.0
AW,AE,186,0,11,15,0.92,186.0
AK,BO,186,1,7,12,2.0,186.0
AT,AZ,180,0,11,11,1.75,180.0
AO,AR,186,0,3,6,0.67,183.0
AO,AR,186,0,2,6,0.67,186.0
BM,AV,186,1,2,0,5.0,186.0
AT,AB,186,1,8,16,1.08,183.0
AT,AB,180,0,6,16,1.08,173.0
AJ,AR,186,1,3,9,0.92,131.0
AK,AB,186,0,4,19,1.5,165.0
AK,AB,186,0,8,19,1.42,145.0
BA,AB,186,0,1,8,1.17,129.0
AT,AI,180,0,9,10,3.08,180.0
AO,AR,186,1,9,10,0.67,179.0
AO,AR,180,0,7,10,0.67,180.0
BM,AV,186,1,6,0,4.0,183.0
BA,AB,180,0,10,8,1.0,119.0
BA,BS,180,0,10,9,1.08,100.0
BA,AB,186,1,3,8,1.17,177.0
AK,AB,186,1,5,6,1.42,181.0
BA,AB,186,0,9,9,0.92,126.0
AT,BS,186,1,7,14,1.17,168.0
AW,AX,180,0,7,21,1.75,155.0
AW,AV,186,0,7,20,1.42,141.0
AT,AI,186,0,11,10,2.92,186.0
BA,AB,180,1,2,8,1.17,173.0
AW,AB,186,0,9,15,1.75,109.0
AW,AX,186,1,6,12,1.75,127.0
AT,AI,186,0,11,10,2.92,179.0
AW,AB,186,1,7,6,1.75,167.0
AO,AR,180,1,7,6,0.67,179.0
BA,BS,186,0,12,8,1.08,176.0
AW,AS,186,1,1,15,0.75,145.0
BA,BS,186,0,12,8,1.08,155.0
AT,BS,186,1,2,9,1.17,186.0
AO,AR,186,0,4,10,0.67,178.0
AT,BO,186,0,5,5,1.75,186.0
AW,AS,186,0,1,15,0.75,129.0
AO,AR,186,1,5,10,0.67,180.0
AW,AX,186,1,7,21,1.75,161.0
AT,BO,186,0,8,6,1.75,186.0
AK,BO,186,1,5,12,2.0,151.0
AT,BO,186,0,5,5,1.75,186.0
AT,BS,180,0,10,14,1.08,156.0
AT,AI,186,1,8,10,3.0,186.0
AT,BS,180,0,11,9,1.17,163.0
AO,AR,180,0,8,14,0.67,180.0
BM,AV,186,1,7,0,4.0,154.0
AT,AI,186,0,10,10,2.92,180.0
AO,AR,186,1,6,10,0.67,173.0
AK,BO,186,0,8,7,1.75,177.0
AT,AI,186,1,6,10,3.0,186.0
AW,AS,186,0,7,19,0.67,124.0
AT,AI,186,0,6,10,3.0,186.0
AT,BS,186,0,4,9,1.17,185.0
AO,AR,186,0,4,10,0.67,181.0
AT,BS,186,0,8,14,1.17,165.0
AO,AR,180,1,12,12,0.67,134.0
AT,AB,180,0,9,16,1.08,111.0
AT,BS,186,0,8,9,1.17,186.0
BM,AV,180,0,11,0,5.0,166.0
AT,AI,186,0,5,10,3.0,170.0
AT,AI,186,1,3,11,2.83,186.0
BA,BS,186,0,10,8,1.08,124.0
AJ,AR,186,1,6,8,0.92,100.0
AW,AB,180,1,7,6,1.75,121.0
AT,AB,186,0,8,16,1.08,183.0
AK,AB,186,0,10,19,1.33,155.0
AO,AR,186,0,2,6,0.67,186.0
AT,BS,186,1,3,9,1.17,136.0
AT,BO,186,0,8,6,1.75,186.0
AT,AI,186,0,12,10,2.92,177.0
AW,AB,180,0,6,19,1.75,168.0
AW,AX,186,0,7,21,1.75,153.0
AW,AV,186,1,6,6,1.42,138.0
AW,AV,180,1,8,21,1.42,96.0
BM,AV,186,0,1,0,5.0,140.0
AT,AI,186,1,1,11,2.83,186.0
AO,AR,180,0,11,12,0.67,173.0
AK,BO,186,0,1,6,2.0,186.0
AY,AR,186,0,8,17,1.08,184.0
BM,AV,186,0,7,0,4.0,155.0
BH,BO,180,0,10,12,2.42,114.0
AO,AR,186,1,8,6,0.67,142.0
AO,AR,186,0,6,10,0.67,135.0
AT,AB,186,1,4,17,1.0,105.0
AW,AV,186,0,4,20,1.42,176.0
BM,AV,186,1,6,0,4.0,169.0
BM,AV,186,1,7,0,4.0,184.0
BA,BS,186,0,8,8,1.17,122.0
AW,AV,186,0,4,20,1.42,95.0
AW,AE,186,0,8,15,0.83,152.0
AO,AR,186,0,10,12,0.67,186.0
BM,AV,186,0,5,0,4.0,157.0
AK,BO,180,1,11,8,1.83,164.0
AO,AR,186,1,9,6,0.67,151.0
AW,AX,186,0,8,12,1.75,137.0
AW,AM,186,0,7,18,3.5,152.0
AT,BO,186,0,8,6,1.75,186.0
AT,AB,186,0,2,17,1.0,121.0
AO,AR,186,1,7,6,0.67,163.0
AJ,AR,186,0,12,17,0.92,144.0
AO,AR,180,1,6,6,0.67,120.0
BM,AV,186,0,6,0,4.0,171.0
BA,AB,186,0,10,8,1.0,145.0
AO,AR,186,1,12,12,0.67,153.0
AT,BS,186,0,10,14,1.08,145.0
AT,AI,186,0,3,11,2.83,170.0
AO,AR,186,1,7,16,0.67,139.0
AW,AV,186,0,4,20,1.42,103.0
AK,BO,186,0,1,6,2.0,132.0
AT,BS,186,0,10,14,1.08,185.0
BA,BS,186,0,9,9,1.08,125.0
AO,AR,186,1,4,10,0.67,180.0
BM,AV,186,1,7,0,4.0,172.0
AO,AR,186,0,12,12,0.67,121.0
AT,BO,186,0,5,5,1.75,186.0
AT,AI,186,1,4,11,2.83,166.0
AW,AV,186,0,5,20,1.5,152.0
BM,AV,186,0,5,0,4.0,132.0
AT,BS,180,0,10,9,1.17,131.0
AW,AX,186,0,7,21,1.75,158.0
AT,AI,180,0,5,10,3.0,163.0
AK,AB,186,1,2,6,1.5,157.0
AT,AB,186,0,8,16,1.08,178.0
AK,BO,186,1,6,12,2.0,186.0
AT,BO,186,0,5,5,1.75,101.0
AT,BO,186,1,8,6,1.75,179.0
BA,AB,180,1,8,8,0.92,180.0
AT,BS,186,0,11,14,1.08,178.0
AO,AR,186,1,7,16,0.67,177.0
AK,AB,186,0,1,7,1.5,164.0
AO,AR,180,1,5,6,0.67,171.0
AK,BO,186,1,4,12,2.0,186.0
BA,AB,186,1,9,8,0.92,186.0
AK,AB,186,0,7,12,1.42,186.0
AT,BS,186,0,7,14,1.17,139.0
AW,AE,186,0,8,15,0.83,186.0
BA,AB,186,1,7,8,0.92,186.0
AO,AR,180,0,12,12,0.67,174.0
AO,AR,180,1,6,10,0.67,162.0
AK,BO,186,0,1,11,2.0,121.0
AK,BO,186,0,2,6,2.0,147.0
AT,AI,186,1,12,10,2.92,182.0
BA,BS,186,0,8,8,1.17,125.0
AT,AB,180,1,5,16,1.0,180.0
AO,AR,180,0,4,10,0.67,180.0
AT,AI,186,0,7,10,3.0,179.0
BA,BS,186,0,7,8,1.08,147.0
AT,BO,180,1,3,6,1.67,180.0
AT,AI,186,0,9,10,3.08,186.0
AT,AZ,186,0,4,14,2.92,186.0
AJ,AR,186,1,6,13,0.92,112.0
AT,BS,186,0,3,9,1.17,131.0
AT,AI,180,1,4,11,2.83,180.0
BA,AB,180,0,8,8,0.92,144.0
AT,AI,180,0,8,10,3.0,180.0
AT,AI,180,1,12,10,2.92,180.0
AT,AZ,186,1,2,6,1.92,169.0
AK,BO,186,0,3,6,2.0,96.0
AO,AR,180,1,11,12,0.67,151.0
AT,AZ,186,1,11,11,1.75,186.0
AT,BO,186,1,3,6,1.67,186.0
AT,AB,186,1,8,16,1.08,186.0
AT,BS,186,0,7,9,1.17,185.0
BM,AV,186,1,2,0,5.0,173.0
AW,AX,186,0,9,12,1.58,162.0
AK,BO,186,1,9,13,1.83,171.0
AT,AI,180,0,12,10,2.92,180.0
AT,AI,186,1,12,10,2.92,172.0
BM,AV,186,0,6,0,4.0,183.0
AK,AB,186,1,9,7,1.25,170.0
AJ,AR,186,1,9,13,0.92,124.0
AT,BO,186,0,8,6,1.75,186.0
AW,AE,186,1,12,19,0.92,173.0
AT,AZ,186,0,3,14,1.92,186.0
AO,AR,180,0,12,12,0.67,133.0
AO,AR,186,0,2,10,0.67,164.0
AT,BS,186,1,1,9,1.17,95.0
AW,AX,186,0,11,11,0.75,181.0
AW,AV,186,0,2,20,1.42,99.0
AT,BS,186,1,6,14,1.17,174.0
AT,AI,180,1,7,10,3.0,180.0
BA,BS,186,1,12,8,1.08,119.0
AT,AI,180,0,3,11,2.83,172.0
AT,AI,186,1,2,13,2.83,186.0
AO,AR,186,1,8,6,0.67,136.0
AW,AX,186,0,8,21,1.75,163.0
AT,AB,186,1,3,17,1.0,138.0
AO,AR,186,0,1,6,0.67,167.0
AJ,AR,180,1,6,13,0.92,142.0
AT,BO,186,1,5,5,1.75,186.0
AT,BS,186,0,8,14,1.17,128.0
AO,AR,186,1,4,12,0.67,170.0
AK,AB,186,0,3,18,1.5,152.0
AK,BO,186,1,9,13,1.83,173.0
AT,AI,180,1,8,10,3.0,180.0
AW,AX,186,0,9,12,1.58,164.0
AO,AR,180,0,1,6,0.67,180.0
AW,AS,186,1,1,15,0.75,169.0
BA,BS,186,1,7,8,1.08,150.0
AO,AR,186,0,8,10,0.67,186.0
AW,AX,186,0,8,12,1.75,175.0
AW,AS,186,1,3,15,0.75,186.0
AW,AV,186,0,1,20,1.42,113.0
AT,BS,186,1,6,14,1.17,173.0
AT,AI,186,0,7,10,3.0,186.0
AO,AR,186,0,1,10,0.67,186.0
BA,BS,180,0,11,8,1.08,171.0
AW,AE,186,1,10,6,0.92,180.0
BM,AV,186,1,1,0,5.0,157.0
AW,AE,186,1,1,16,0.92,169.0
AO,AR,186,0,1,6,0.67,149.0
BH,BO,186,0,9,14,2.42,113.0
AW,AE,180,0,9,15,0.75,176.0
AO,AR,186,0,11,12,0.67,183.0
AT,BS,180,0,5,14,1.08,179.0
AT,BS,186,0,7,14,1.17,142.0
AO,AR,186,0,10,12,0.67,186.0
AJ,AR,186,1,8,13,0.92,170.0
AK,AB,186,0,4,19,1.5,165.0
AJ,AR,186,1,1,9,0.92,183.0
AO,AR,180,1,4,6,0.67,159.0
AT,AI,186,1,4,11,2.83,173.0
AK,BO,186,1,3,9,2.0,120.0
AT,AI,186,1,8,10,3.0,178.0
AT,AI,186,0,3,11,2.83,166.0
AT,BS,186,0,11,9,1.17,186.0
BH,BO,186,1,8,14,2.42,175.0
AW,AE,186,0,3,15,0.92,186.0
AT,AI,180,1,9,10,3.08,180.0
AT,AI,186,1,2,11,2.83,186.0
AO,AR,186,0,8,10,0.67,184.0
BH,BO,186,0,12,12,2.42,178.0
AT,AI,180,1,3,11,2.83,173.0
AW,AV,180,1,1,6,1.42,115.0
AT,AI,180,0,12,10,2.92,180.0
AT,AI,180,1,3,11,2.83,180.0
AT,BS,186,0,8,14,1.17,100.0
AO,AR,186,1,11,12,0.67,186.0
AT,AB,186,0,6,16,1.08,144.0
AT,BS,186,0,6,9,1.17,175.0
AT,AI,180,1,1,11,2.83,180.0
BM,AV,186,1,4,0,4.0,155.0
AT,AI,180,0,9,10,3.08,178.0
AO,AR,186,1,2,6,0.67,165.0
AK,BO,186,1,10,17,1.83,186.0
AW,AV,186,0,5,20,1.5,113.0
AO,AR,186,1,8,10,0.67,186.0
AT,BS,180,1,5,14,1.08,178.0
BM,AV,186,1,5,0,4.0,140.0
AO,AR,180,0,11,12,0.67,180.0
AW,AV,186,0,5,20,1.5,158.0
AT,BS,186,0,5,9,1.08,170.0
AT,AZ,186,1,4,14,2.92,130.0
AT,AI,186,1,8,10,3.0,186.0
AK,BO,186,1,4,12,2.0,142.0
BM,AV,180,0,12,0,5.0,180.0
AJ,AR,186,1,8,13,0.92,137.0
BM,AV,180,0,6,0,4.0,168.0
AT,BO,186,0,8,6,1.75,182.0
AW,AS,186,0,7,6,0.67,138.0
AT,AI,180,0,6,10,3.0,180.0
AO,AR,186,1,11,12,0.67,181.0
AT,AI,186,0,9,10,3.08,183.0
AK,BO,186,0,10,9,1.83,173.0
AK,BO,186,1,4,12,2.0,169.0
AT,AI,180,0,9,10,3.08,178.0
BM,AV,186,0,7,0,4.0,159.0
BM,AV,186,1,3,0,4.0,166.0
BM,AV,186,0,2,0,5.0,175.0
BA,AB,186,0,9,8,0.92,110.0
AW,AS,180,1,2,15,0.75,180.0
AJ,AR,186,0,8,17,0.92,181.0
BA,AB,186,0,9,8,0.92,112.0
AK,BO,186,0,10,9,1.83,156.0
AT,AB,186,1,5,16,1.0,128.0
AT,BS,186,0,10,14,1.08,176.0
AK,BO,186,0,9,9,1.75,184.0
AT,AI,186,0,6,10,3.0,167.0
AT,AB,186,0,10,16,1.0,154.0
AT,AB,186,1,2,17,1.0,162.0
AT,BO,186,1,8,6,1.75,186.0
AW,AE,186,1,1,16,0.92,177.0
AK,AB,186,0,5,19,1.42,163.0
AW,AV,186,1,12,6,1.5,171.0
BM,AV,186,1,4,0,4.0,178.0
AW,AB,186,0,6,19,1.75,158.0
BH,BO,186,1,7,14,2.42,180.0
AK,AB,186,0,5,19,1.42,160.0
AT,AI,186,0,4,11,2.83,172.0
AT,BS,186,0,12,14,1.08,166.0
AJ,AR,186,0,4,8,0.92,186.0
AK,AB,186,1,6,17,1.42,155.0
AW,AV,186,0,10,20,1.42,146.0
AW,AM,180,0,7,18,3.5,144.0
AW,AX,180,0,7,21,1.75,144.0
BM,AV,180,1,11,0,5.0,180.0
AT,AI,186,0,3,11,2.83,184.0
AT,AI,186,1,11,10,2.92,173.0
AO,AR,186,0,1,6,0.67,179.0
AO,AR,186,0,7,14,0.67,186.0
AT,AI,180,0,1,11,2.83,180.0
AK,BO,186,1,1,8,2.0,157.0
BM,AV,186,1,12,0,5.0,175.0
AT,BS,186,0,3,9,1.17,146.0
AT,AI,180,0,3,11,2.83,174.0
AT,AI,186,0,11,10,2.92,186.0
AK,BO,186,1,11,8,1.83,146.0
AK,BO,186,0,2,6,2.0,178.0
AJ,AR,186,1,2,9,0.92,136.0
AW,AV,186,1,10,11,1.42,185.0
AW,AV,186,0,11,17,1.42,113.0
AT,AZ,180,1,1,6,1.92,127.0
AK,BO,186,1,1,8,2.0,151.0
AW,AV,186,0,11,17,1.42,149.0
AT,BO,186,0,5,5,1.75,186.0
AO,AR,180,1,6,16,0.67,110.0
AT,AB,186,0,8,16,1.08,142.0
BM,AV,180,1,6,0,4.0,180.0
BM,AV,186,1,6,0,4.0,180.0
BA,AB,186,1,5,8,1.0,186.0
BA,BS,180,1,12,8,1.08,178.0
AW,AB,180,0,4,14,1.83,180.0
BA,AB,186,0,7,8,0.92,186.0
AT,BS,180,1,3,9,1.17,180.0
AW,AS,186,0,6,15,0.67,173.0
AK,BO,186,0,3,6,2.0,167.0
AW,AV,180,0,3,20,1.42,108.0
AW,AE,186,1,9,19,0.75,186.0
AW,AV,186,0,9,17,1.42,133.0
AT,AB,180,0,7,16,1.08,151.0
AT,AZ,186,1,2,14,1.92,131.0
AT,AZ,186,1,11,11,1.75,178.0
AO,AR,180,0,11,12,0.67,123.0
BA,AB,180,0,3,8,1.17,173.0
AW,AS,180,0,9,10,0.75,152.0
AJ,AR,186,1,8,8,0.92,140.0
AT,AI,186,0,6,10,3.0,186.0
BA,AB,180,1,7,8,0.92,180.0
AK,AB,186,1,6,7,1.42,128.0
AT,BO,180,0,5,5,1.75,165.0
AT,AI,180,0,1,11,2.83,178.0
AT,AB,180,1,9,16,1.08,180.0
AT,AI,180,0,10,10,2.92,180.0
AT,AI,180,0,9,10,3.08,180.0
AW,AV,186,0,1,20,1.42,120.0
AT,BS,186,0,11,14,1.08,126.0
AT,AB,186,1,6,16,1.08,165.0
AW,AM,186,1,6,11,3.5,140.0
AT,AI,186,0,6,10,3.0,182.0
AW,AX,186,0,6,12,1.75,160.0
AO,AR,180,0,5,14,0.67,155.0
AT,AB,180,1,5,16,1.0,180.0
BA,AB,186,0,9,8,0.92,108.0
AT,AB,186,1,1,17,1.0,140.0
BM,AV,186,1,3,0,4.0,170.0
AW,AS,186,0,3,15,0.75,144.0
AO,AR,186,0,3,10,0.67,186.0
AW,AX,186,0,6,12,1.75,150.0
AW,AX,186,1,8,21,1.75,152.0
BH,BO,186,0,10,15,2.42,123.0
AW,AX,186,1,9,12,1.58,181.0
AT,AI,180,0,8,10,3.0,180.0
BM,AV,180,1,11,0,5.0,180.0
AT,AI,186,1,7,10,3.0,186.0
AT,AZ,186,0,2,6,1.92,128.0
AT,BS,180,1,2,9,1.17,180.0
AW,AX,186,0,7,21,1.75,160.0
BM,AV,186,1,7,0,4.0,162.0
BM,AV,186,1,2,0,5.0,137.0
AT,BS,186,0,6,9,1.17,170.0
BM,AV,186,1,5,0,4.0,152.0
AT,BO,186,0,8,6,1.75,185.0
AT,AI,186,0,9,10,3.08,169.0
AT,AI,186,0,5,10,3.0,186.0
AT,AI,186,1,10,10,2.92,170.0
AK,AB,186,1,5,6,1.42,159.0
AT,AB,186,1,5,16,1.0,139.0
AT,BS,186,0,9,14,1.17,130.0
AW,AB,180,1,8,11,1.75,106.0
AT,AI,186,0,11,10,2.92,184.0
AK,AB,186,0,6,17,1.42,118.0
BM,AV,186,0,5,0,4.0,129.0
AT,AI,186,0,7,10,3.0,186.0
AT,BS,186,0,6,14,1.17,182.0
AK,BO,186,0,7,7,1.75,170.0
AT,AI,180,0,12,10,2.92,172.0
AT,AI,180,1,9,10,3.08,180.0
BM,AV,186,1,3,0,4.0,160.0
AK,AB,186,0,9,19,1.33,149.0
AT,AI,186,0,8,10,3.0,186.0
AO,AR,186,1,3,6,0.67,162.0
AT,BO,186,0,5,5,1.75,186.0
AW,AV,180,1,2,20,1.42,127.0
AW,AE,186,0,5,17,0.92,186.0
AT,AB,186,0,8,16,1.08,186.0
BM,AV,186,0,3,0,5.0,132.0
AT,BS,186,1,1,9,1.17,183.0
AT,AI,186,0,11,10,2.92,186.0
AK,AB,186,1,3,6,1.5,151.0
BM,AV,186,1,5,0,4.0,186.0
AO,AR,186,0,7,14,0.67,175.0
AW,AX,186,1,10,11,1.75,182.0
AT,AI,186,1,3,11,2.83,170.0
AT,AI,180,1,10,10,2.92,180.0
AT,AI,180,1,1,11,2.83,175.0
AT,AI,180,0,6,10,3.0,180.0
BM,AV,186,0,12,0,5.0,179.0
AO,AR,186,0,9,14,0.67,185.0
AT,BS,180,0,12,9,1.17,158.0
AT,AB,186,1,7,16,1.08,186.0
BM,AV,186,0,4,0,4.0,186.0
AW,BK,186,0,11,12,2.33,100.0
AT,AB,186,0,5,16,1.0,166.0
AT,AI,186,0,11,10,2.92,184.0
AT,BS,180,1,9,6,1.17,96.0
AJ,AR,180,1,5,8,0.92,105.0
AO,AR,186,0,6,14,0.67,144.0
AT,AB,186,1,6,16,1.08,113.0
AT,AI,180,0,12,10,2.92,138.0
AK,AB,186,0,3,18,1.5,186.0
AT,AI,186,0,2,11,2.83,186.0
AW,AE,186,0,3,16,0.92,186.0
BM,AV,186,1,2,0,5.0,156.0
AT,BS,186,0,6,14,1.17,186.0
AW,AV,180,1,3,20,1.42,163.0
BA,AB,186,1,2,8,1.17,186.0
AJ,AR,186,1,9,8,0.92,127.0
AW,AX,180,1,8,21,1.75,130.0
BM,AV,186,1,1,0,5.0,163.0
AW,AS,186,1,3,15,0.75,170.0
AT,BS,186,0,3,9,1.17,140.0
AT,AI,186,1,12,10,2.92,180.0
AO,AR,186,0,11,12,0.67,166.0
AK,BO,180,1,12,17,1.83,159.0
AT,AB,180,1,2,17,1.0,180.0
AT,AB,186,0,9,16,1.08,186.0
AT,AB,180,1,10,16,1.0,159.0
AT,BS,180,0,3,9,1.17,125.0
AW,AS,180,0,7,6,0.67,171.0
BM,AV,186,0,1,0,5.0,148.0
BM,AV,186,1,1,0,5.0,160.0
AO,AR,180,1,11,12,0.67,116.0
AW,AS,186,0,1,15,0.75,144.0
AO,AR,180,1,1,6,0.67,132.0
AW,AB,186,0,8,15,1.75,153.0
AK,BO,186,1,8,12,2.0,186.0
AO,AR,186,0,6,10,0.67,166.0
AT,AI,186,1,5,10,3.0,172.0
AT,AI,186,1,2,11,2.83,186.0
BM,AV,186,0,4,0,4.0,186.0
AT,AI,180,0,9,10,3.08,179.0
AO,AR,186,0,5,14,0.67,181.0
BA,BS,186,1,8,8,1.17,109.0
AT,AZ,186,0,11,11,1.75,186.0
AT,BO,180,0,5,5,1.75,180.0
AT,BS,186,0,8,14,1.17,126.0
AW,AV,186,0,4,20,1.42,107.0
AT,AI,180,0,4,11,2.83,180.0
AT,BS,186,1,9,14,1.17,137.0
BM,AV,186,0,1,0,5.0,156.0
AT,AI,180,1,3,11,2.83,173.0
BH,BO,186,0,9,14,2.42,148.0
AJ,AR,186,0,9,17,0.92,186.0
AO,AR,186,0,10,12,0.67,186.0
AO,AR,186,0,5,14,0.67,135.0
BM,AV,186,0,1,0,5.0,177.0
AT,AI,186,0,10,10,2.92,183.0
BM,AV,186,1,1,0,5.0,177.0
AT,AB,186,1,9,16,1.08,140.0
AO,AR,186,0,9,10,0.67,158.0
AT,AI,180,1,6,10,3.0,171.0
BM,AV,186,0,6,0,4.0,157.0
AK,AB,186,0,9,19,1.33,175.0
AK,AB,186,0,5,19,1.42,181.0
AT,BS,186,1,12,14,1.08,134.0
AT,BS,186,1,9,6,1.17,103.0
AT,AI,186,1,8,10,3.0,186.0
AT,AI,180,0,7,10,3.0,180.0
AT,AB,186,1,8,16,1.08,131.0
AJ,AR,186,0,1,9,0.92,186.0
AT,AI,180,0,4,11,2.83,177.0
BM,AV,180,0,6,0,4.0,176.0
AW,AV,186,1,5,20,1.5,144.0
AW,AX,186,0,8,12,1.75,166.0
BH,BO,180,1,9,14,2.42,111.0
AO,AR,186,0,4,10,0.67,179.0
BM,AV,186,1,4,0,4.0,133.0
AO,AR,186,0,6,14,0.67,184.0
AT,AZ,186,0,4,14,2.92,167.0
AO,AR,180,0,9,14,0.67,177.0
AT,AB,180,1,9,16,1.08,116.0
BM,AV,186,0,5,0,4.0,129.0
AW,AX,186,0,8,21,1.75,177.0
AW,AV,180,1,9,6,1.42,128.0
AT,AZ,180,0,11,11,1.75,177.0
AO,AR,186,0,12,12,0.67,126.0
AO,AR,180,0,9,14,0.67,171.0
BM,AV,186,0,1,0,5.0,160.0
AT,AI,180,1,12,10,2.92,168.0
AW,AX,186,0,8,21,1.75,153.0
AT,AI,186,0,10,10,2.92,186.0
AO,AR,186,1,11,12,0.67,182.0
AK,AB,186,1,7,7,1.42,186.0
AT,AI,186,1,7,10,3.0,186.0
AW,AX,180,0,7,21,1.75,167.0
BA,BS,186,0,7,8,1.08,172.0
AW,AS,180,0,3,15,0.75,164.0
AO,AR,186,0,6,14,0.67,161.0
BM,AV,186,1,11,0,4.0,181.0
BA,AB,186,1,9,8,0.92,184.0
AT,AI,180,0,6,10,3.0,180.0
BM,AV,186,0,4,0,4.0,160.0
BA,BS,186,0,11,10,1.08,182.0
AJ,AR,186,1,10,17,0.92,186.0
BM,AV,180,0,4,0,4.0,175.0
AT,AI,180,0,12,10,2.92,180.0
BM,AV,186,1,2,0,5.0,142.0
AJ,AR,186,1,5,8,0.92,160.0
AO,AR,186,0,4,10,0.67,158.0
AT,BS,186,1,4,9,1.17,186.0
AJ,AR,180,1,4,8,0.92,170.0
AT,BS,186,0,12,14,1.08,184.0
AK,AB,186,1,8,7,1.42,186.0
AT,BS,186,1,4,9,1.17,186.0
AW,AS,186,0,4,15,0.75,161.0
AT,BS,186,0,12,9,1.17,139.0
BA,AB,186,1,10,8,1.0,148.0
AT,AZ,186,0,3,14,2.92,184.0
BM,AV,186,1,6,0,4.0,186.0
